Responder_id,Responder_age,LanguagesWorkedWith
1,28,HTML/CSS;Java;JavaScript;Python
2,31,C++;HTML/CSS;Python
3,48,HTML/CSS
4,29,C;C++;C#;Python;SQL
5,20,C++;HTML/CSS;Java;JavaScript;Python;SQL;VBA
6,29,Java;R;SQL
7,31,HTML/CSS;JavaScript
8,36,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;Python;SQL
9,49,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;Ruby;Rust;SQL;TypeScript;WebAssembly;Other(s):
10,41,C#;Go;JavaScript;Python;R;SQL
11,19,Other(s):
12,37,Bash/Shell/PowerShell;HTML/CSS;Java;Python;R;SQL
13,41,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;SQL;TypeScript
14,22,C++
15,18,Assembly;Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;PHP;SQL
16,41,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;TypeScript;VBA
17,32,Bash/Shell/PowerShell;HTML/CSS;JavaScript;TypeScript
18,43,Python;R
19,56,C#;HTML/CSS;Java;JavaScript;SQL;TypeScript
20,52,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;PHP;Python;R;SQL
21,47,Assembly;Bash/Shell/PowerShell;C;C++;Go;Java;JavaScript;Kotlin;Python;Rust;SQL;Swift
22,38,Bash/Shell/PowerShell;C++;HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript
23,42,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;Ruby;SQL
24,24,HTML/CSS;JavaScript;PHP;TypeScript
25,41,HTML/CSS;JavaScript;PHP;SQL;TypeScript
26,43,Bash/Shell/PowerShell;C++;C#;HTML/CSS;JavaScript;PHP;Python;Ruby;SQL;Swift;TypeScript;VBA
27,22,C++;JavaScript;Python;Ruby;SQL;TypeScript
28,42,JavaScript;TypeScript
29,26,Bash/Shell/PowerShell;JavaScript;SQL
31,45,Python
32,54,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python
33,41,C++;Python;R
34,23,HTML/CSS;JavaScript
35,27,HTML/CSS;JavaScript
36,25,Java;Kotlin;Python
